<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,   1248.00000,     20.35959,    -18.03863
      0.57234,   1213.00000,     20.37944,    -18.03900
      1.14468,    970.00000,     20.39928,    -18.03936
      1.71702,    956.00000,     20.41913,    -18.03973
      2.28936,    908.00000,     20.43898,    -18.04009
      2.86170,    894.00000,     20.45883,    -18.04046
      3.43404,   1002.00000,     20.47867,    -18.04081
      4.00639,   1092.00000,     20.49852,    -18.04117
      4.57873,   1172.00000,     20.51837,    -18.04153
      5.15107,   1239.00000,     20.53821,    -18.04188
      5.72341,   1235.00000,     20.55806,    -18.04223
      6.29575,   1230.00000,     20.57791,    -18.04258
      6.86809,   1238.00000,     20.59775,    -18.04293
      7.44043,   1247.00000,     20.61760,    -18.04328
      8.01277,   1253.00000,     20.63745,    -18.04362
      8.58511,   1239.00000,     20.65730,    -18.04396
      9.15745,   1250.00000,     20.67715,    -18.04430
      9.72979,   1270.00000,     20.69699,    -18.04464
     10.30213,   1283.00000,     20.71684,    -18.04497
     10.87447,   1319.00000,     20.73669,    -18.04531
     11.44682,   1376.00000,     20.75654,    -18.04564
     12.01916,   1514.00000,     20.77638,    -18.04597
     12.59150,   1569.00000,     20.79623,    -18.04629
     13.16384,   1614.00000,     20.81608,    -18.04662
     13.73618,   1691.00000,     20.83593,    -18.04694
     14.30852,   1727.00000,     20.85578,    -18.04726
     14.88086,   1767.00000,     20.87563,    -18.04758
     15.45320,   1801.00000,     20.89547,    -18.04790
     16.02554,   1807.00000,     20.91532,    -18.04821
     16.59788,   1737.00000,     20.93517,    -18.04853
     17.17022,   1626.00000,     20.95502,    -18.04884
     17.74256,   1391.00000,     20.97487,    -18.04915
     18.31490,   1284.00000,     20.99472,    -18.04945
     18.88725,   1175.00000,     21.01457,    -18.04976
     19.45959,   1074.00000,     21.03442,    -18.05006
     20.03193,   1013.00000,     21.05427,    -18.05036
     20.60427,    978.00000,     21.07411,    -18.05066
     21.17661,    967.00000,     21.09396,    -18.05096
     21.74895,    981.00000,     21.11381,    -18.05125
     22.32129,    996.00000,     21.13366,    -18.05155
     22.89363,   1006.00000,     21.15351,    -18.05184
     23.46597,    998.00000,     21.17336,    -18.05213
     24.03831,    988.00000,     21.19321,    -18.05241
     24.61065,    992.00000,     21.21306,    -18.05270
     25.18299,   1002.00000,     21.23291,    -18.05298
     25.75533,   1015.00000,     21.25276,    -18.05326
     26.32767,   1038.00000,     21.27261,    -18.05354
     26.90002,   1038.00000,     21.29246,    -18.05382
     27.47236,   1060.00000,     21.31231,    -18.05409
     28.04470,   1064.00000,     21.33216,    -18.05436
     28.61704,   1055.00000,     21.35201,    -18.05463
     29.18938,   1045.00000,     21.37186,    -18.05490
     29.76172,   1055.00000,     21.39171,    -18.05517
     30.33406,   1136.00000,     21.41156,    -18.05543
     30.90640,   1183.00000,     21.43141,    -18.05569
     31.47874,   1203.00000,     21.45126,    -18.05595
     32.05108,   1228.00000,     21.47111,    -18.05621
     32.62342,   1249.00000,     21.49096,    -18.05647
     33.19576,   1280.00000,     21.51081,    -18.05672
